mixture_ID,speaker_1_ID,speaker_1_sex,speaker_2_ID,speaker_2_sex,speaker_3_ID,speaker_3_sex,speaker_4_ID,speaker_4_sex,speaker_5_ID,speaker_5_sex,speaker_6_ID,speaker_6_sex,speaker_7_ID,speaker_7_sex,speaker_8_ID,speaker_8_sex,speaker_9_ID,speaker_9_sex,speaker_10_ID,speaker_10_sex
125-121342-0039_1183-133255-0012_6529-62554-0004_311-124404-0115_3723-171115-0039_4830-25898-0013_1867-148436-0031_211-122442-0061_8770-295465-0029_1098-133695-0000,125,F,1183,F,6529,M,311,M,3723,M,4830,M,1867,M,211,F,8770,M,1098,F
5456-24741-0007_1363-135842-0038_1963-142776-0009_8629-261139-0044_730-358-0054_3240-131231-0046_1447-130550-0024_6454-93938-0023_446-123502-0037_2989-138035-0055,5456,M,1363,F,1963,F,8629,M,730,F,3240,M,1447,F,6454,M,446,M,2989,F
4898-28461-0049_250-142286-0008_6880-216547-0073_2764-36616-0034_8630-305213-0002_7278-91083-0010_328-129766-0092_374-180298-0063_8465-246942-0024_1737-142397-0022,4898,M,250,F,6880,M,2764,F,8630,M,7278,M,328,F,374,M,8465,F,1737,F
8063-274112-0031_5808-48608-0021_32-21625-0013_911-128684-0057_302-123523-0017_3664-11714-0019_254-127705-0030_7264-92314-0011_403-128339-0020_7178-34645-0016,8063,M,5808,M,32,F,911,M,302,F,3664,M,254,M,7264,M,403,F,7178,F
89-218-0039_839-130898-0029_4362-15663-0095_5750-100289-0048_39-121916-0005_6181-216552-0016_328-129766-0012_1992-141719-0028_8770-295465-0000_3235-11599-0016,89,F,839,M,4362,F,5750,M,39,F,6181,M,328,F,1992,F,8770,M,3235,F
19-198-0027_248-130652-0016_2196-170379-0002_696-92939-0014_6078-54013-0054_1898-145715-0025_8238-274553-0027_481-123720-0044_8770-295465-0013_6064-300880-0025,19,F,248,F,2196,F,696,F,6078,F,1898,F,8238,F,481,M,8770,M,6064,F
3879-173592-0019_26-495-0089_2952-407-0007_6147-34605-0020_3486-166424-0044_2159-179154-0039_211-122442-0081_3983-5371-0058_118-47824-0067_8465-246942-0006,3879,F,26,M,2952,M,6147,F,3486,M,2159,M,211,F,3983,F,118,M,8465,F
307-127539-0021_5163-39921-0004_26-495-0075_2989-138028-0045_6000-55211-0053_1355-39947-0083_6880-216547-0109_254-127705-0014_150-132655-0002_4362-15663-0016,307,M,5163,F,26,M,2989,F,6000,F,1355,M,6880,M,254,M,150,F,4362,F
2002-139469-0095_7447-91187-0055_7505-83618-0011_2289-152257-0011_696-93314-0044_405-130894-0013_7635-105661-0022_3526-176653-0053_3235-28452-0033_1455-138263-0021,2002,M,7447,M,7505,M,2289,M,696,F,405,M,7635,F,3526,F,3235,F,1455,M
8324-286681-0010_289-121665-0042_3112-9554-0002_7067-76047-0022_5322-7680-0012_4160-11550-0017_5789-57195-0032_7800-283478-0018_8629-261139-0001_5703-47212-0045,8324,F,289,F,3112,F,7067,M,5322,M,4160,F,5789,F,7800,F,8629,M,5703,M
83-9960-0026_3699-19401-0019_7402-59171-0010_7367-86737-0017_1578-140045-0012_3259-158083-0089_8629-261140-0005_2436-2476-0039_7178-34644-0018_625-132118-0036,83,F,3699,M,7402,M,7367,M,1578,F,3259,F,8629,M,2436,M,7178,F,625,M
3374-298032-0016_8838-298546-0001_8088-284756-0049_6880-216547-0084_5688-41232-0075_328-129766-0069_7505-258964-0009_2092-145706-0079_163-122947-0061_2159-179157-0004,3374,M,8838,M,8088,M,6880,M,5688,F,328,F,7505,M,2092,F,163,M,2159,M
4788-94904-0012_6529-62554-0040_3699-19402-0004_3664-11714-0017_911-130578-0020_1992-141719-0049_163-121908-0000_1841-179183-0010_1898-145720-0004_3168-173564-0030,4788,M,6529,M,3699,M,3664,M,911,M,1992,F,163,M,1841,F,1898,F,3168,M
4481-17498-0018_3235-28433-0028_7178-34644-0004_7190-90542-0029_2764-36616-0033_1334-135589-0105_4014-186175-0005_1447-130552-0013_2518-154825-0023_2196-174172-0038,4481,F,3235,F,7178,F,7190,M,2764,F,1334,M,4014,M,1447,F,2518,M,2196,F
2007-149877-0001_6181-216552-0008_2910-131096-0089_446-123502-0029_7517-100442-0001_4362-15663-0038_8088-284756-0081_7312-92432-0012_8238-274553-0031_2514-149482-0062,2007,F,6181,M,2910,F,446,M,7517,F,4362,F,8088,M,7312,M,8238,F,2514,M
2436-2477-0018_3526-175658-0011_5463-39174-0013_2989-138028-0061_4859-29340-0026_839-130898-0099_6000-55211-0014_412-126975-0025_298-126790-0002_8630-305212-0040,2436,M,3526,F,5463,M,2989,F,4859,M,839,M,6000,F,412,M,298,F,8630,M
625-132118-0004_7113-86041-0008_5339-14133-0049_4830-25904-0039_1867-154075-0043_8747-293952-0069_311-124404-0009_1624-142933-0008_481-123719-0009_1447-130552-0016,625,M,7113,F,5339,F,4830,M,1867,M,8747,M,311,M,1624,M,481,M,1447,F
2911-7601-0046_5808-54425-0004_8051-119902-0004_6848-252323-0023_426-122822-0017_481-123720-0070_7226-86964-0000_1069-133699-0016_4267-72637-0016_2196-170379-0024,2911,M,5808,M,8051,F,6848,M,426,F,481,M,7226,M,1069,F,4267,M,2196,F
8088-284756-0111_4441-76263-0039_5703-47212-0026_1970-26100-0007_446-123502-0006_8051-295385-0007_60-121082-0035_7059-88364-0020_3830-12535-0025_6000-55211-0037,8088,M,4441,M,5703,M,1970,F,446,M,8051,F,60,M,7059,F,3830,M,6000,F
1553-140047-0039_3235-28433-0039_26-495-0082_2893-139322-0011_669-129061-0019_2289-152258-0001_2092-145706-0045_39-121915-0008_5750-35690-0012_3436-172162-0042,1553,F,3235,F,26,M,2893,M,669,F,2289,M,2092,F,39,F,5750,M,3436,M
7264-92316-0044_103-1240-0041_8226-274369-0025_5022-29405-0009_5163-18515-0008_3486-166446-0032_8770-295462-0037_4195-17507-0015_3436-172171-0016_3235-28433-0049,7264,M,103,F,8226,M,5022,F,5163,F,3486,M,8770,M,4195,F,3436,M,3235,F
7517-100429-0020_39-121914-0023_374-180298-0046_5514-19192-0018_2182-181183-0008_3112-9555-0079_1263-138246-0036_1578-140049-0027_4051-11218-0038_328-129766-0070,7517,F,39,F,374,M,5514,F,2182,F,3112,F,1263,F,1578,F,4051,F,328,F
196-122159-0021_8425-246962-0009_1246-124548-0014_4137-11702-0002_911-130578-0018_163-122947-0076_1553-140047-0028_3436-172162-0031_6437-66172-0030_6000-55211-0048,196,M,8425,M,1246,F,4137,F,911,M,163,M,1553,F,3436,M,6437,M,6000,F
5703-47198-0036_6848-252323-0034_83-11691-0035_8609-283227-0047_2691-156755-0036_103-1240-0053_8088-284756-0056_2002-139469-0104_7859-102519-0056_3214-167606-0011,5703,M,6848,M,83,F,8609,M,2691,F,103,F,8088,M,2002,M,7859,F,3214,M
3242-8112-0006_6078-54007-0021_5456-58161-0005_2416-152139-0027_2092-145706-0001_1363-139304-0045_3664-178366-0003_7302-86815-0027_4088-158077-0039_7367-86737-0050,3242,M,6078,F,5456,M,2416,F,2092,F,1363,F,3664,M,7302,F,4088,F,7367,M
4788-294466-0000_5688-15787-0022_7447-91187-0025_2002-139469-0087_2843-152918-0069_307-127539-0017_2436-2481-0018_5808-48608-0053_118-47824-0066_250-142286-0022,4788,M,5688,F,7447,M,2002,M,2843,M,307,M,2436,M,5808,M,118,M,250,F
8419-286667-0009_4898-20016-0008_26-495-0062_6818-76332-0020_5463-39173-0043_460-172359-0084_1246-124550-0001_1069-133699-0043_1502-122619-0033_87-121553-0025,8419,M,4898,M,26,M,6818,F,5463,M,460,M,1246,F,1069,F,1502,F,87,F
460-172359-0073_5022-29411-0063_4051-11217-0035_5678-43301-0025_5652-39938-0014_211-122425-0015_909-131045-0003_4340-15220-0041_89-218-0057_1898-145720-0005,460,M,5022,F,4051,F,5678,M,5652,F,211,F,909,M,4340,F,89,F,1898,F
3259-158083-0078_8580-287363-0016_4441-76263-0003_6529-62554-0028_5652-19215-0012_6454-120342-0008_8425-246962-0003_311-124404-0107_4297-13006-0018_2518-154826-0036,3259,F,8580,M,4441,M,6529,M,5652,F,6454,M,8425,M,311,M,4297,F,2518,M
4340-15220-0031_1447-130550-0022_3214-167607-0022_4898-28461-0018_6476-96661-0024_229-130880-0053_2514-149482-0095_2952-408-0014_5463-39173-0025_4830-25904-0023,4340,F,1447,F,3214,M,4898,M,6476,F,229,M,2514,M,2952,M,5463,M,4830,M
8419-286667-0010_3879-174923-0060_7302-86815-0051_298-126790-0023_8063-274115-0011_625-132112-0038_6147-34606-0026_8425-287387-0016_1334-135589-0106_1578-140049-0033,8419,M,3879,F,7302,F,298,F,8063,M,625,M,6147,F,8425,M,1334,M,1578,F
1069-133699-0026_226-131532-0023_1183-128659-0015_8465-246942-0026_1447-17506-0025_8238-274553-0058_3947-13262-0034_6836-76549-0024_412-126975-0090_1723-141149-0004,1069,F,226,F,1183,F,8465,F,1447,F,8238,F,3947,F,6836,M,412,M,1723,M
118-121721-0012_196-122150-0011_8838-298545-0032_8108-274318-0013_8014-112602-0016_211-122425-0081_5703-47212-0037_5652-19215-0044_2518-154825-0010_2691-156745-0029,118,M,196,M,8838,M,8108,M,8014,F,211,F,5703,M,5652,F,2518,M,2691,F
7517-100442-0011_8838-298546-0034_6415-100596-0029_4088-158077-0047_2911-15084-0000_5652-39938-0048_5678-43303-0002_3607-135982-0017_7780-274562-0000_307-127539-0003,7517,F,8838,M,6415,F,4088,F,2911,M,5652,F,5678,M,3607,M,7780,F,307,M
2159-179156-0021_233-134440-0054_39-121916-0022_1578-140049-0021_5104-33406-0050_6367-65536-0009_4898-20016-0010_6818-68772-0031_6385-34669-0009_1723-141149-0102,2159,M,233,M,39,F,1578,F,5104,M,6367,M,4898,M,6818,F,6385,F,1723,M
83-11691-0023_2182-181183-0016_1963-142393-0048_831-130746-0034_4362-15663-0036_2691-156750-0002_1447-130551-0020_1867-148436-0009_4195-186237-0006_4340-15220-0089,83,F,2182,F,1963,F,831,M,4362,F,2691,F,1447,F,1867,M,4195,F,4340,F
1553-140048-0000_307-127540-0012_3436-172171-0054_4813-248641-0049_909-131045-0014_8838-298545-0034_2384-152900-0035_1743-142914-0032_5192-19397-0041_1992-141719-0047,1553,F,307,M,3436,M,4813,M,909,M,8838,M,2384,M,1743,M,5192,M,1992,F
4853-27671-0037_5463-39173-0007_669-129074-0021_5514-19192-0045_7794-295947-0017_405-130894-0064_4362-15663-0106_839-130898-0090_6209-34601-0016_198-129977-0020,4853,F,5463,M,669,F,5514,F,7794,F,405,M,4362,F,839,M,6209,M,198,F
1088-134318-0006_2416-152139-0005_7278-246956-0018_7302-86815-0041_6848-252322-0024_7859-102519-0002_1841-159771-0016_8063-274115-0034_8324-286681-0009_163-122947-0088,1088,F,2416,F,7278,M,7302,F,6848,M,7859,F,1841,F,8063,M,8324,F,163,M
201-127786-0036_307-127539-0035_7067-76047-0000_4267-72637-0028_322-124147-0023_6531-61334-0098_229-130880-0066_118-47824-0020_730-359-0001_5789-57195-0001,201,M,307,M,7067,M,4267,M,322,F,6531,F,229,M,118,M,730,F,5789,F
7367-86737-0008_4018-107312-0017_60-121082-0092_7859-102518-0002_307-127535-0044_8975-270782-0076_1578-6379-0037_5688-41232-0003_6181-216552-0033_8123-275193-0011,7367,M,4018,M,60,M,7859,F,307,M,8975,F,1578,F,5688,F,6181,M,8123,F
7794-295948-0004_4018-107312-0031_1455-138263-0003_426-122821-0005_3723-171631-0058_87-121553-0019_6000-55211-0057_7264-92310-0026_2002-139469-0035_405-130894-0071,7794,F,4018,M,1455,M,426,F,3723,M,87,F,6000,F,7264,M,2002,M,405,M
118-47824-0007_298-126790-0017_3235-28433-0040_332-128985-0015_7226-86964-0016_8051-118101-0005_1594-135914-0115_2911-7601-0038_5463-39174-0019_2764-36617-0029,118,M,298,F,3235,F,332,M,7226,M,8051,F,1594,M,2911,M,5463,M,2764,F
8063-274116-0030_2911-7601-0007_7780-274562-0031_5867-48852-0103_211-122442-0059_6925-80680-0057_201-127786-0048_226-131533-0008_1088-134315-0011_5561-39621-0036,8063,M,2911,M,7780,F,5867,F,211,F,6925,M,201,M,226,F,1088,F,5561,F
2391-145015-0103_7800-283493-0003_8063-274117-0012_3947-13262-0002_2518-154825-0027_2817-142371-0064_1502-122619-0035_4640-19187-0016_2893-139310-0035_911-128684-0063,2391,F,7800,F,8063,M,3947,F,2518,M,2817,F,1502,F,4640,F,2893,M,911,M
3242-67153-0020_4853-29413-0024_4859-29340-0010_2691-156745-0038_198-126831-0018_5463-39174-0039_8088-284756-0009_2817-142371-0003_8324-286683-0033_7226-86965-0013,3242,M,4853,F,4859,M,2691,F,198,F,5463,M,8088,M,2817,F,8324,F,7226,M
458-126294-0008_7190-90542-0009_3664-178355-0033_163-122947-0063_2843-152918-0062_8088-284756-0076_2007-149877-0030_150-132655-0029_5322-7678-0012_40-222-0044,458,M,7190,M,3664,M,163,M,2843,M,8088,M,2007,F,150,F,5322,M,40,F
3947-13260-0027_587-54108-0054_2893-139310-0016_1723-141149-0008_426-122821-0042_5456-24741-0012_4362-15663-0017_1898-145702-0002_5514-19192-0021_6000-55211-0003,3947,F,587,F,2893,M,1723,M,426,F,5456,M,4362,F,1898,F,5514,F,6000,F
1926-147979-0026_6531-61334-0111_3240-131231-0030_6181-216552-0112_6880-216547-0086_332-128985-0061_8797-294123-0053_3242-8112-0033_8630-305212-0026_3830-12535-0013,1926,F,6531,F,3240,M,6181,M,6880,M,332,M,8797,M,3242,M,8630,M,3830,M
5750-35690-0011_5688-15787-0021_211-122425-0078_4051-11217-0029_7059-77897-0003_8063-274115-0013_6531-61334-0088_6476-57446-0086_7447-91187-0012_1963-142393-0034,5750,M,5688,F,211,F,4051,F,7059,F,8063,M,6531,F,6476,F,7447,M,1963,F
87-121553-0104_2002-139469-0057_2384-152900-0065_211-122425-0068_27-124992-0005_3168-173565-0059_200-124140-0025_5104-33407-0022_7302-86814-0029_8324-286683-0000,87,F,2002,M,2384,M,211,F,27,M,3168,M,200,F,5104,M,7302,F,8324,F
4018-107338-0003_3374-298026-0033_8580-287364-0003_4788-94904-0020_6209-34599-0030_26-495-0076_3486-166446-0000_4137-11701-0013_298-126791-0030_8609-262281-0004,4018,M,3374,M,8580,M,4788,M,6209,M,26,M,3486,M,4137,F,298,F,8609,M
3857-182315-0006_5561-41615-0007_250-142286-0006_7078-271888-0051_8324-286682-0015_7635-105409-0024_4788-91208-0029_26-495-0005_8108-280359-0013_8838-298546-0009,3857,M,5561,F,250,F,7078,F,8324,F,7635,F,4788,M,26,M,8108,M,8838,M
7067-76048-0054_1723-141149-0007_5688-15787-0016_3664-178366-0026_7505-258964-0015_3983-5371-0056_2436-2481-0006_1447-17506-0005_3857-180923-0011_201-127786-0062,7067,M,1723,M,5688,F,3664,M,7505,M,3983,F,2436,M,1447,F,3857,M,201,M
8425-287387-0032_8609-262281-0021_3240-131231-0080_7367-86737-0106_7402-59171-0001_6476-57446-0030_3112-9555-0056_625-132112-0051_5022-29405-0021_7067-76047-0014,8425,M,8609,M,3240,M,7367,M,7402,M,6476,F,3112,F,625,M,5022,F,7067,M
1069-133709-0021_8425-291444-0015_5104-33407-0001_4813-248641-0052_8630-305213-0033_250-142276-0044_1355-39947-0054_1578-6379-0033_3830-12530-0013_887-123289-0035,1069,F,8425,M,5104,M,4813,M,8630,M,250,F,1355,M,1578,F,3830,M,887,F
2416-152139-0002_7302-86815-0045_1081-125237-0026_7447-91187-0059_3879-173592-0039_8770-295463-0023_1926-143879-0020_3440-171009-0050_1235-135887-0030_7190-90543-0008,2416,F,7302,F,1081,M,7447,M,3879,F,8770,M,1926,F,3440,F,1235,M,7190,M
8629-261139-0060_458-126290-0006_1098-133695-0041_6064-56168-0032_3486-166446-0026_3807-4923-0019_7780-274562-0001_6454-107462-0021_8108-280359-0022_4640-19187-0035,8629,M,458,M,1098,F,6064,F,3486,M,3807,M,7780,F,6454,M,8108,M,4640,F
322-124147-0077_587-41611-0015_3983-5331-0005_412-126975-0055_196-122159-0029_8238-274553-0072_5688-41232-0002_6531-61334-0064_4137-11701-0018_7402-90848-0042,322,F,587,F,3983,F,412,M,196,M,8238,F,5688,F,6531,F,4137,F,7402,M
1034-121119-0029_2391-145015-0085_1355-39947-0057_4680-16041-0004_250-140277-0014_8770-295465-0038_3947-13262-0037_6454-93938-0007_5456-62043-0008_5808-54425-0037,1034,M,2391,F,1355,M,4680,F,250,F,8770,M,3947,F,6454,M,5456,M,5808,M
8051-119902-0037_226-131533-0034_307-127539-0013_8747-293952-0027_7178-34644-0063_248-130652-0035_4397-15668-0021_8095-274345-0023_198-126831-0015_5652-39938-0025,8051,F,226,F,307,M,8747,M,7178,F,248,F,4397,M,8095,M,198,F,5652,F
87-121553-0027_1578-140049-0032_26-495-0009_3486-166424-0006_4441-76262-0015_1992-141719-0021_332-128985-0006_5163-39921-0047_233-134440-0021_6925-80680-0012,87,F,1578,F,26,M,3486,M,4441,M,1992,F,332,M,5163,F,233,M,6925,M
6181-216552-0080_7190-90543-0041_4137-11702-0027_8797-294123-0079_7226-86964-0039_229-130880-0002_8095-274346-0018_1363-135842-0051_441-128988-0021_307-127540-0021,6181,M,7190,M,4137,F,8797,M,7226,M,229,M,8095,M,1363,F,441,F,307,M
307-127535-0041_7402-59171-0045_426-122822-0025_8975-270782-0078_4853-27671-0023_1926-143879-0030_6454-107462-0034_226-131532-0022_6019-3185-0072_4018-103416-0023,307,M,7402,M,426,F,8975,F,4853,F,1926,F,6454,M,226,F,6019,M,4018,M
2007-149877-0058_3526-176653-0052_7635-105409-0059_6181-216552-0093_7800-283478-0014_19-227-0010_1502-122615-0008_6476-96661-0029_8095-274346-0008_4340-15220-0068,2007,F,3526,F,7635,F,6181,M,7800,F,19,F,1502,F,6476,F,8095,M,4340,F
7067-76048-0047_3240-131231-0019_1502-122619-0020_1737-148989-0017_248-130652-0022_8465-246942-0021_226-131532-0033_250-140277-0006_3235-28433-0018_7635-105409-0041,7067,M,3240,M,1502,F,1737,F,248,F,8465,F,226,F,250,F,3235,F,7635,F
4340-15220-0027_2002-139469-0110_2911-15045-0028_8123-275216-0045_1088-129236-0018_5678-43302-0020_6272-70171-0037_458-126290-0000_5390-24512-0001_3699-19401-0023,4340,F,2002,M,2911,M,8123,F,1088,F,5678,M,6272,F,458,M,5390,M,3699,M
6272-70168-0030_8747-293952-0042_669-129061-0009_6563-63821-0036_6529-62554-0018_5652-19215-0058_5049-25947-0109_226-122538-0023_87-121553-0032_1069-133709-0005,6272,F,8747,M,669,F,6563,M,6529,M,5652,F,5049,M,226,F,87,F,1069,F
1069-133709-0003_2836-5355-0017_4898-20016-0028_2911-15084-0007_911-128684-0041_19-198-0007_5652-39938-0001_3607-29116-0045_8630-305212-0021_5393-19218-0052,1069,F,2836,F,4898,M,2911,M,911,M,19,F,5652,F,3607,M,8630,M,5393,F
163-122947-0060_1898-145715-0026_2416-152139-0065_7178-34645-0022_332-128985-0086_2989-138035-0012_250-142286-0028_4160-11549-0038_1447-17506-0034_403-216-0010,163,M,1898,F,2416,F,7178,F,332,M,2989,F,250,F,4160,F,1447,F,403,F
289-121665-0045_5561-41616-0000_446-123502-0013_2092-145706-0066_460-172359-0042_2384-152900-0026_4088-158077-0075_27-124992-0028_118-121721-0014_103-1241-0043,289,F,5561,F,446,M,2092,F,460,M,2384,M,4088,F,27,M,118,M,103,F
7190-90543-0037_1034-121119-0065_3240-131231-0028_6367-65536-0035_2289-152258-0022_198-126831-0011_163-121908-0011_3723-171631-0007_1578-140045-0014_7859-102519-0042,7190,M,1034,M,3240,M,6367,M,2289,M,198,F,163,M,3723,M,1578,F,7859,F
1334-135589-0068_8226-274371-0031_2817-142371-0028_7264-92310-0031_426-122819-0030_3112-9555-0035_2289-152254-0029_8098-278278-0004_4788-91208-0005_1246-124548-0032,1334,M,8226,M,2817,F,7264,M,426,F,3112,F,2289,M,8098,M,4788,M,1246,F
441-128988-0030_911-130578-0014_4788-94904-0005_7780-274562-0096_4297-13009-0002_4898-28461-0025_5163-39921-0029_6064-300880-0016_4406-16883-0009_7859-102519-0046,441,F,911,M,4788,M,7780,F,4297,F,4898,M,5163,F,6064,F,4406,M,7859,F
8419-286676-0017_6019-3185-0022_3374-298025-0030_2989-138035-0031_481-123720-0025_1334-135589-0028_1183-133255-0013_19-198-0025_6367-65536-0020_200-124139-0032,8419,M,6019,M,3374,M,2989,F,481,M,1334,M,1183,F,19,F,6367,M,200,F
6019-3185-0060_8095-274346-0003_403-128339-0045_4859-29340-0007_4051-11217-0000_8108-274318-0021_5561-39621-0019_5652-39938-0005_4088-158077-0056_1737-142396-0005,6019,M,8095,M,403,F,4859,M,4051,F,8108,M,5561,F,5652,F,4088,F,1737,F
3374-298032-0004_3436-172162-0007_4267-78186-0005_446-123502-0018_5808-54425-0001_1081-125237-0069_1963-147036-0008_2764-36617-0013_2136-5147-0035_6529-62556-0015,3374,M,3436,M,4267,M,446,M,5808,M,1081,M,1963,F,2764,F,2136,M,6529,M
6529-62554-0023_60-121082-0023_5049-25947-0079_3699-175950-0010_1737-148989-0018_1263-141777-0004_201-122255-0007_32-4137-0001_311-124404-0025_3235-28433-0008,6529,M,60,M,5049,M,3699,M,1737,F,1263,F,201,M,32,F,311,M,3235,F
2159-179156-0028_7264-92316-0001_8088-284756-0038_3607-29116-0039_19-227-0072_839-130898-0050_5393-19219-0051_6437-66173-0017_4853-29413-0010_8324-286682-0040,2159,M,7264,M,8088,M,3607,M,19,F,839,M,5393,F,6437,M,4853,F,8324,F
1355-39947-0078_458-126290-0013_5678-43303-0000_6209-34600-0022_1841-159771-0019_374-180298-0011_4014-186183-0008_5652-39938-0030_3235-28433-0013_8123-275193-0004,1355,M,458,M,5678,M,6209,M,1841,F,374,M,4014,M,5652,F,3235,F,8123,F
4640-19188-0010_1723-141149-0047_8238-283452-0015_1081-125237-0013_211-122425-0013_587-54108-0036_3240-131231-0010_3879-174923-0014_6064-300880-0017_1743-142912-0007,4640,F,1723,M,8238,F,1081,M,211,F,587,F,3240,M,3879,F,6064,F,1743,M
887-123290-0009_3242-67168-0038_7059-77897-0024_60-121082-0089_2764-36616-0010_118-124588-0012_6181-216552-0066_1723-141149-0096_1098-133695-0052_4859-29340-0027,887,F,3242,M,7059,F,60,M,2764,F,118,M,6181,M,1723,M,1098,F,4859,M
6415-116629-0038_2159-179154-0015_150-126112-0008_911-128684-0079_441-128982-0014_2289-152257-0004_8468-295198-0023_211-122442-0050_7859-102518-0011_6367-65536-0012,6415,F,2159,M,150,F,911,M,441,F,2289,M,8468,F,211,F,7859,F,6367,M
311-124404-0114_4853-29413-0022_1737-142396-0022_6880-216547-0022_289-121652-0002_26-496-0011_8797-294123-0074_4680-16042-0006_839-130898-0008_5514-19192-0003,311,M,4853,F,1737,F,6880,M,289,F,26,M,8797,M,4680,F,839,M,5514,F
1034-121119-0039_625-132112-0035_3374-298026-0039_4137-11702-0017_5192-19397-0018_8425-287387-0009_4362-15663-0037_1334-135589-0091_4018-103416-0025_5022-29411-0043,1034,M,625,M,3374,M,4137,F,5192,M,8425,M,4362,F,1334,M,4018,M,5022,F
6385-220959-0026_307-127539-0024_6272-70191-0016_6529-62554-0001_6064-56168-0001_1034-121119-0064_1246-135815-0005_405-130894-0056_125-121124-0024_887-123290-0007,6385,F,307,M,6272,F,6529,M,6064,F,1034,M,1246,F,405,M,125,F,887,F
125-121124-0033_3168-173565-0012_3607-29116-0035_1737-142397-0013_458-126305-0024_6531-61334-0114_909-131044-0010_669-129061-0018_587-41611-0020_1235-135883-0046,125,F,3168,M,3607,M,1737,F,458,M,6531,F,909,M,669,F,587,F,1235,M
2384-152900-0086_3436-172171-0035_1970-26100-0020_4297-13009-0013_1963-142776-0017_8226-274369-0003_8014-112602-0035_1447-130552-0026_7511-102420-0037_7178-34644-0049,2384,M,3436,M,1970,F,4297,F,1963,F,8226,M,8014,F,1447,F,7511,F,7178,F
5163-39921-0016_1081-125237-0025_911-128684-0077_118-47824-0001_4195-186237-0012_78-369-0059_3699-175950-0013_6563-285357-0044_5688-41232-0060_412-126975-0085,5163,F,1081,M,911,M,118,M,4195,F,78,M,3699,M,6563,M,5688,F,412,M
6836-76549-0028_1116-137572-0041_3240-131231-0050_302-123516-0006_441-128988-0015_1455-138263-0030_2092-145706-0071_6437-66173-0061_1737-142397-0001_6529-62554-0008,6836,M,1116,F,3240,M,302,F,441,F,1455,M,2092,F,6437,M,1737,F,6529,M
8324-286683-0011_3664-178366-0018_1624-142933-0036_5750-100289-0022_3947-13262-0040_201-127786-0049_6209-34599-0031_5652-39938-0061_460-172359-0029_426-122822-0007,8324,F,3664,M,1624,M,5750,M,3947,F,201,M,6209,M,5652,F,460,M,426,F
3807-4923-0014_27-123349-0047_8630-305213-0048_3982-178459-0010_250-142286-0027_8014-112586-0000_8098-275181-0008_7447-91186-0003_460-172359-0080_5867-48852-0018,3807,M,27,M,8630,M,3982,F,250,F,8014,F,8098,M,7447,M,460,M,5867,F
8609-283227-0048_8797-294123-0032_8419-286676-0011_298-126790-0001_445-123857-0010_5561-41615-0036_1841-150351-0019_233-155990-0019_4195-17507-0046_2843-152918-0011,8609,M,8797,M,8419,M,298,F,445,M,5561,F,1841,F,233,M,4195,F,2843,M
1455-138263-0014_150-126107-0030_1088-134315-0043_2196-170151-0033_405-130894-0027_6415-111615-0037_2007-149877-0044_887-123289-0033_1737-148989-0012_6181-216552-0076,1455,M,150,F,1088,F,2196,F,405,M,6415,F,2007,F,887,F,1737,F,6181,M
211-122425-0044_4267-287369-0001_5456-62043-0009_5339-14134-0065_4640-19188-0033_8108-280359-0017_60-121082-0059_5390-24512-0014_481-123719-0032_1553-140047-0000,211,F,4267,M,5456,M,5339,F,4640,F,8108,M,60,M,5390,M,481,M,1553,F
7511-102419-0031_5192-19397-0033_625-132112-0049_7780-274562-0030_4898-20016-0021_8465-246942-0004_78-369-0030_2817-142371-0029_8975-270782-0024_2910-131096-0003,7511,F,5192,M,625,M,7780,F,4898,M,8465,F,78,M,2817,F,8975,F,2910,F
6081-42010-0008_2092-145709-0020_1098-133695-0002_6836-61803-0030_5652-39938-0021_7278-246956-0028_460-172359-0093_2893-139322-0000_1034-121119-0043_2952-408-0027,6081,M,2092,F,1098,F,6836,M,5652,F,7278,M,460,M,2893,M,1034,M,2952,M
2691-156750-0011_5390-30102-0001_1898-145724-0006_1743-142914-0012_6081-41998-0018_1447-130550-0014_87-121553-0039_3214-167607-0001_6000-55211-0055_2514-149482-0012,2691,F,5390,M,1898,F,1743,M,6081,M,1447,F,87,F,3214,M,6000,F,2514,M
8975-270782-0093_1246-124548-0045_2817-142371-0046_8324-286682-0027_125-121124-0003_3526-176651-0010_8312-279791-0012_40-121026-0043_8630-305212-0010_909-131041-0010,8975,F,1246,F,2817,F,8324,F,125,F,3526,F,8312,F,40,F,8630,M,909,M
27-124992-0049_2836-5354-0028_1081-125237-0035_730-360-0010_3259-158083-0117_200-124139-0020_1926-147987-0003_5049-25947-0118_2893-139322-0046_60-121082-0051,27,M,2836,F,1081,M,730,F,3259,F,200,F,1926,F,5049,M,2893,M,60,M
4195-186237-0024_4853-27670-0009_1455-138263-0026_2952-410-0004_5561-41615-0001_7402-90848-0033_8747-293952-0081_60-121082-0006_2911-12359-0013_8609-283227-0006,4195,F,4853,F,1455,M,2952,M,5561,F,7402,M,8747,M,60,M,2911,M,8609,M
730-360-0026_5789-57195-0004_89-218-0031_125-121124-0064_6415-111615-0005_6209-34599-0037_2416-152139-0031_8580-287364-0048_8975-270782-0050_1624-142933-0021,730,F,5789,F,89,F,125,F,6415,F,6209,M,2416,F,8580,M,8975,F,1624,M
